IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.168.123,4,4,0.00,205.95,4.48
104.21.38.210,4,4,0.00,205.95,4.48
172.67.168.123,4,4,0.00,205.95,4.48
104.21.38.210,4,4,0.00,205.95,4.48
